time	V(ramp_full)
0.000000000000000e+00	0.000000e+00
1.464843801812776e-10	1.549254e-03
1.476557776869109e-10	1.561718e-03
1.499985726981776e-10	1.586999e-03
1.640553427657773e-10	1.747417e-03
1.827977028559102e-10	1.982731e-03
2.202824230361760e-10	2.517160e-03
2.952518633967076e-10	3.799047e-03
4.451907441177708e-10	6.976936e-03
6.919224569032583e-10	1.341135e-02
1.045615011777193e-09	2.430001e-02
1.541158598447637e-09	4.120482e-02
2.232881270574672e-09	6.557887e-02
3.264153328939384e-09	1.004926e-01
4.935648572189712e-09	1.500561e-01
8.222772153124345e-09	2.230273e-01
1.479701931499361e-08	3.180307e-01
1.817836030182132e-08	3.438914e-01
2.108473956905137e-08	3.512521e-01
2.312141096961227e-08	3.513558e-01
2.474144853343506e-08	3.486953e-01
2.651701415256692e-08	3.436486e-01
2.824776689463461e-08	3.369896e-01
3.035064703423110e-08	3.269499e-01
3.283536894537408e-08	3.129523e-01
3.630953847063372e-08	2.906560e-01
4.130103747471210e-08	2.558852e-01
4.951464633647194e-08	1.987784e-01
6.160465813390106e-08	1.244428e-01
7.432271309755632e-08	6.518906e-02
8.765516757930379e-08	2.590209e-02
1.014225484614267e-07	5.373791e-03
1.193680655687751e-07	-4.224041e-03
1.358412682903620e-07	-5.234897e-03
1.585070179637603e-07	-3.112536e-03
1.860847479697715e-07	-1.314887e-03
2.318702186437952e-07	-6.568679e-04
2.770424520985527e-07	-9.067423e-04
3.201933893356835e-07	-1.156020e-03
3.656017587086217e-07	-1.327241e-03
4.225012914296094e-07	-1.571704e-03
4.718956151437682e-07	-1.800764e-03
5.314666856678919e-07	-2.079415e-03
5.851164249227220e-07	-2.328533e-03
6.589043362984107e-07	-2.663804e-03
7.189320615634512e-07	-2.930546e-03
7.367650870559123e-07	-3.008848e-03
7.643339490150779e-07	-3.129757e-03
8.000000000000000e-07	-3.286652e-03
8.035666050984922e-07	-3.302442e-03
8.106998152954765e-07	-3.334084e-03
8.249662356894454e-07	-3.397630e-03
8.534990764773831e-07	-3.525648e-03
9.105647580532584e-07	-3.783782e-03
1.002519674898192e-06	-4.201210e-03
1.086321542098989e-06	-4.579875e-03
1.220310534404425e-06	-5.181330e-03
1.342730917009145e-06	-5.730625e-03
1.473512826464383e-06	-6.319409e-03
1.616610040405984e-06	-6.964060e-03
1.777064363064678e-06	-7.685574e-03
